headline,article
Archibald wins first gold for GB,"This video can not be played Archibald wins world omnium gold Britain's Katie Archibald won gold in the women's omnium at the Track Cycling World Championships in Hong Kong. The 23-year-old Scot held off Australia's Amy Cure in the points race for her first individual world title. Britain now have three medals following asilver for Elinor Barkerandbronze for Chris Lathamin the scratch races. World Championship debutant Ryan Owens reached the quarter-finals of the men's sprint as fellow Briton and Olympic champion Callum Skinner crashed out. Follow World Track Cycling Championships on the BBC The omnium explained and other mysteries Archibald won Olympic gold alongside Barker, Laura Kenny and Joanna Rowsell Shand in the team pursuit at Rio 2016 and was world team pursuit champion in 2014. But with defending world and Olympic omnium champion Kenny pregnant with her first child, Archibald was handed an individual spot and seized her opportunity. ""I feel really privileged to pull it off,"" she said. ""It was an unbelievably grippy race, I really thought I'd lost it in the middle point but I pulled it out of the bag. ""It feels very strange, I'm used to having my girls, my team-mates, around me it's odd to celebrate by yourself but I'm looking forward to catching up with them at the hotel."" European champion Archibald won the first two events - the scratch race and the newly-added tempo race - and led by eight points at the halfway stage. She finished fifth in elimination race as rival Cure took maximum points, meaning the two were level going into the final event. Archibald edged two points clear before the final sprint of the points race, and put in a fantastic push down the final straight to secure victory. It was her first individual success on a world stage and she has had to overcome multiple setbacks on her road to individual glory. At the end of 2015, a motorbike accident forced her to withdraw from the 2016 World Championships in London and she was heavily criticised by ex-British Cycling technical director Shane Sutton. In November last year, she fractured her wrist as she partnered Manon Lloyd to victory in the inaugural women's madison at the Track Cycling World Cup in Glasgow. Elinor Barker (second left) and Katie Archibald (far right) won gold alongside Joanna Rowsell-Shand (left) and Laura Kenny (second right) in the team pursuit at Rio 2016 Olympic gold medallist Chris Boardman A wonderful performance. I thought she was completely spent in the closing stages; I genuinely didn't think that she had another sprint in her. But she just found something from somewhere to take the sprint from her rivals. She knew she only had one effort, Cure went too early but nobody could manage the speed of Archibald's final dash. Eleven-time world gold medallist Sir Chris Hoy Some of the big names are out of the British team but it's giving the younger riders a chance to shine and hopefully cement a place in the team come Tokyo 2020. Ryan Owens (left) was taken as a reserve to Rio after just nine months on the programme Earlier, Owens eased into Saturday's quarter-finals of the men's sprint. The 21-year-old, who travelled to Rio 2016 as a reserve, beat Hugo Barrette of Canada. But individual sprint Olympic silver medallist Skinner suffered a second-round exit. The 24-year-old Scot, who also won Olympic gold in the team sprint alongside Kenny and Phil Hindes in Rio, was beaten by Max Niederleg of Germany. ""The field were three or fourth tenths ahead of my pace and it makes it difficult when you come up against the second seed,"" Skinner told BBC TV. ""It's just a reflection of where we are. I can't be too disappointed."" In the men's individual pursuit, Matt Bostock and Andy Tennant finished 13th and 14th while, in the men's points race, Mark Stewart came seventh. This video can not be played Jason considering retirement - Laura Kenny Jason Kenny 'considering retirement' Latham wins World Championship bronze Barker pipped for World Championship gold Kenny absence 'gives chance for others' Wiggins, Cavendish and Trott win golds British Cycling Team Sky International Cycling Union UK Sport Belgian GP agrees new F1 rotational deal until 2031 Fantasy holes with lava fields - it's golf for the 21st Century France manager Deschamps to step down after 2026 World Cup Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the factory he used to work in to find out how they bake 1.4 million loaves a week Dara Ã  Briain and Isy Suttie discover strange-but-true tales The pair are joined by astronaut Helen Sharman to learn about how humans learned to survive in space A round-up of 2024's top sports stories. VideoA round-up of 2024's top sports stories Jason Manford hosts, with Maisie Adam and Jon Richardson as team captains How Claressa Shields became a boxing legend The story of how Claressa Shields overcame obstacles to reach the top of the boxing game Fantasy holes with lava fields - it's golf for the 21st Century How the man who signed Henry, Bale and Suarez is reshaping Toulouse How the role of a goalkeeper changed Can Djokovic win record 25th Grand Slam aged 37? As Hamilton turns 40, how well do you know seven-time champion? 'Epic moment!' - 355lb Pierce interception tops NFL best plays. Video'Epic moment!' - 355lb Pierce interception tops NFL best plays The Man Utd legend almost broken by Barcelona Kohli, youngsters & Bumrah - talking points from Australia's win over India Clough - the man who made Forest European champions twice How 'impressive' Man Utd caused problems on Liverpool's right side. VideoHow 'impressive' Man Utd caused problems on Liverpool's right side Australia beat India to claim series victory. VideoAustralia beat India to claim series victory Teenage kicks - what makes history-making Littler so good? Sporting highlights to look forward to in 2025 The best sports photos of 2024 - and how they were captured Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Cook unbeaten as Essex dominate Somerset,"Alastair Cook (left) will resume day two needing 11 for a half-century Specsavers County Championship Division One, Cooper Associates County Ground (day one): Somerset 209:Trego 48; Zaidi 3-17 Essex 60-2:Cook 39* Somerset 1 pt, Essex 3 pts Scorecard Ex-England captain Alastair Cook hit an unbeaten 39 for Essex against Somerset in his first Championship appearance since standing down as Test skipper. Cook took two slip catches in the first session as the visitors bowled Somerset out for 209 in Taunton. In bowler-friendly conditions Peter Trego (48) top scored as the home side struggled to deny Essex's bowlers. Although Nick Browne was bowled cheaply by Craig Overton, Cook held out under heavy cloud cover as Essex closed 60-2. Cook returned to the hosts' line-up after being sidelined for their first match against Lancashire with a hip injury, and the England opener took two low catches at first slip as Marcus Trescothick and new Somerset captain Tom Abell were both dismissed by Ravi Bopara. Dean Elgar (34) and James Hildreth (36) shared a 54-run third-wicket partnership, before the former was stumped off spinner Ashar Zaidi. Trego's lone resistance was ended as he top-edged Simon Harmer to Zaidi but the hosts managed to pick up a solitary batting bonus point as they edged past 200. After a short delay due to bad light and surviving a tight lbw call, Cook sent Jamie Overton for three consecutive fours as he eased into the match. Roelof van der Merwe ensured Somerset ended on a high, as he bowled Tom Westley for 10 with the final ball of the day. Somerset all-rounder Peter Trego said: ""I think it's probably slightly swung in their favour. ""It's the old cricketing clichÃ©: you can only see how good a pitch is when both sides have batted on it and Alastair Cook is a phenomenal player and he's making life look relatively easy out there and I don't think any of us did. ""It's a sporting wicket. There's certainly something there for the bowler, but you get rewarded for quality batting."" County Championship - 39 for Cook and century for Clark on day one Test Match Special: Clips and Podcast TMS Facebook TMS Twitter BBC Sport Facebook BBC Sport Twitter England and Wales Cricket Board Somerset CCC Essex CCC Belgian GP agrees new F1 rotational deal until 2031 Fantasy holes with lava fields - it's golf for the 21st Century France manager Deschamps to step down after 2026 World Cup Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the factory he used to work in to find out how they bake 1.4 million loaves a week Dara Ã  Briain and Isy Suttie discover strange-but-true tales The pair are joined by astronaut Helen Sharman to learn about how humans learned to survive in space A round-up of 2024's top sports stories. VideoA round-up of 2024's top sports stories Jason Manford hosts, with Maisie Adam and Jon Richardson as team captains How Claressa Shields became a boxing legend The story of how Claressa Shields overcame obstacles to reach the top of the boxing game Fantasy holes with lava fields - it's golf for the 21st Century How the man who signed Henry, Bale and Suarez is reshaping Toulouse How the role of a goalkeeper changed Can Djokovic win record 25th Grand Slam aged 37? As Hamilton turns 40, how well do you know seven-time champion? 'Epic moment!' - 355lb Pierce interception tops NFL best plays. Video'Epic moment!' - 355lb Pierce interception tops NFL best plays The Man Utd legend almost broken by Barcelona Kohli, youngsters & Bumrah - talking points from Australia's win over India Clough - the man who made Forest European champions twice How 'impressive' Man Utd caused problems on Liverpool's right side. VideoHow 'impressive' Man Utd caused problems on Liverpool's right side Australia beat India to claim series victory. VideoAustralia beat India to claim series victory Teenage kicks - what makes history-making Littler so good? Sporting highlights to look forward to in 2025 The best sports photos of 2024 - and how they were captured Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Watch: World Track Cycling Championships,"GB's Katie Archibald wins gold in women's omnium Kristina Vogel (Ger) wins women's sprint gold Jordan Kerby (Aus) wins men's individual pursuit Men's points race GB's Mark Stewart 7th A mass-start race of 40km (160 laps). Points are scored in intermediate sprints, which are held every 10 laps, with five points for the winner followed by three, two and one for the next three over the line. There are also 20 points on offer for lapping the field. Tactics vary, with some riders sitting at the back to conserve energy and contest the intermediate sprints, while others try to gain a lap by breaking off the front and rejoining the back of the main bunch. The winner is the rider with the most points at the end of the race. A straight race against the clock over 4km. One rider starts on the back straight, one on the home straight but they are competing against the clock rather than each other. The quickest two riders in qualifying contest the final, where to win you must catch the other rider or be first to complete the distance. The omnium has had a major overhaul following the Rio 2016 Olympics, changing from a six-race event over two days to a four-race event held on a single day. The new format consists of four bunch races, with the scratch, elimination and points races retained and a new event - the tempo race - added. This also means the omnium is now a pure endurance event instead of a test of sprinting and endurance. Points are accumulated by riders in the first three events - the scratch, tempo and elimination races - with 40 points for the winner, 38 for second, 36 for third and so on. Each point then won during the final event - the points race - is added to the rider's points total. The rider with the highest score at the end of the points race is the winner. Today's events To qualify for the knockout rounds, riders must complete a 200m flying lap in the fastest time possible, with 28 now progressing instead of 24 at previous World Championships. The knockout races tend to feature slow, tactical starts, followed by a frenetic finish as two riders race against each other with the first to cross the line winning - the perceived advantage being that the rider coming from behind can draft, using less energy and thus have a better chance of being victorious. Olympic champions Katie Archibald, Elinor Barker, Steven Burke and Callum Skinner have been named in the squad of 20 riders, of whom 10 are making their World Championship debut. Great Britain will hope to match theirÂtable-topping five gold medalsÂ from last year's event in London but are without a number of star names. Six-time Olympic champion Jason Kenny and four-time Olympic gold medallist wife Laura, who areÂexpecting their first child,Â will miss the championships, while Bradley Wiggins has retired and Mark Cavendish is focusing on road racing. Women's endurance:Â Katie Archibald, Elinor Barker, Ellie Dickinson, Neah Evans, Emily Kay, Manon Lloyd, Emily Nelson Men's endurance:ÂMatt Bostock, Steven Burke, Kian Emadi, Chris Latham, Mark Stewart, Andy Tennant, Oliver Wood Sprint:ÂJack Carlin, Katy Marchant, Lewis Oliva, Ryan Owens, Callum Skinner, Joe Truman If you've been encouraged to get your lyrca on, Get Inspired has a guide on how to get started in the sportÂavailable here. The World Track Cycling Championships 2017 are taking place at the Hong Kong Velodrome from theÂ12-16 April.Â The Championships take place every year, last year they took place in London. They were first held in 1893, inÂ Chicago and were originally for amateurs with separate professional races. Amateurs and professionals continued to competed in separate events until 1993, after which they raced together in ""open"" races.Â Championships are open to riders selected by their national cycling association. They compete in the colours of their country.Â Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Vettel fastest in Bahrain first practice,"Ferrari's Sebastian Vettel is well placed to rival Lewis Hamilton for the drivers' title this season Bahrain Grand Prix on the BBC Dates:14-16 AprVenue:Bahrain International Circuit Coverage:Practice, qualifying and race on BBC Radio 5 live sports extra (second practice online only). Live text commentary, leaderboard and imagery on BBC Sport website and app. Ferrari's Sebastian Vettel set the pace infirst practice at the Bahrain Grand Prixas title rival Lewis Hamilton was down in 10th for Mercedes. Vettel, who shares the championship lead with Hamilton, was 0.4 seconds quicker than Red Bull's Daniel Ricciardo. Hamilton was 1.9secs back in 10th, but his time was set earlier in the session and is unlikely to be representative. Ferrari's Kimi Raikkonen stopped on the track with an engine problem. Smoke poured from the back of the Finn's car as he pulled off after Turn 13, with  Ferrari saying the problem was ""overheating in the turbo area"". Relive all the action from the first practice session Full result from first practice Hamilton was 0.366secs quicker than team-mate Valtteri Bottas, who has vowed to make amends for the spin behind the safety car in China last weekend that left him sixth as Hamilton won. Both Mercedes drivers set their fastest times in the hottest part of the day, whereas Vettel's came nearly half an hour later. First practice in Bahrain is typically not reflective of the rest of the weekend as it is held in the heat of the early afternoon, whereas qualifying and race start at twilight and track temperatures drop dramatically after dark. It was an uneventful session, and only a harmless spin by Williams driver Felipe Massa punctuated the testing. Ferrari were not the only team to suffer an engine problem - McLaren's Stoffel Vandoorne also stopped out on track when his engine cut out. The Belgian had just completed his fastest lap of the session, 2.3secs off Vettel's pace. Team-mate Fernando Alonso, who it was announced on Wednesday wouldmiss the Monaco Grand Prixto race in the Indianapolis 500, was eighth fastest, 1.675secs behind Vettel, setting his time shortly after Vandoorne's problem. Ricciardo's team-mate Max Verstappen was third fastest, 0.469secs behind the Australian, ahead of Force India's Sergio Perez, Massa and team-mate Lance Stroll, and Perez's team-mate Esteban Ocon. Listen to 5 live's Chequered Flag podcast Bahrain Grand Prix coverage details Bahrain Grand Prix first practice result Kimi Raikkonen's Ferrari suffered problems on the hot Bahrain cicuit Red Bull's Daniel Ricciardo finished second in the first practice session Mercedes world champion Lewis Hamilton struggled in the Bahrain heat McLaren Honda's Stoffel Vandoorne also suffered engine problems during the session Bahrain Grand Prix: Friday practice as it happened 'Can I beat Lewis? For sure' 'A classic F1 season in the making' What next for McLaren-Honda? Button set to replace Alonso at Monaco GB's Rowland targets F1 spot for 2018 Abu Dhabi Grand Prix coverage details BBC F1 Twitter BBC Sport Facebook BBC Sport Twitter Formula 1 FIA Belgian GP agrees new F1 rotational deal until 2031 Fantasy holes with lava fields - it's golf for the 21st Century France manager Deschamps to step down after 2026 World Cup Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the factory he used to work in to find out how they bake 1.4 million loaves a week Dara Ã  Briain and Isy Suttie discover strange-but-true tales The pair are joined by astronaut Helen Sharman to learn about how humans learned to survive in space A round-up of 2024's top sports stories. VideoA round-up of 2024's top sports stories Jason Manford hosts, with Maisie Adam and Jon Richardson as team captains How Claressa Shields became a boxing legend The story of how Claressa Shields overcame obstacles to reach the top of the boxing game Fantasy holes with lava fields - it's golf for the 21st Century How the man who signed Henry, Bale and Suarez is reshaping Toulouse How the role of a goalkeeper changed Can Djokovic win record 25th Grand Slam aged 37? As Hamilton turns 40, how well do you know seven-time champion? 'Epic moment!' - 355lb Pierce interception tops NFL best plays. Video'Epic moment!' - 355lb Pierce interception tops NFL best plays The Man Utd legend almost broken by Barcelona Kohli, youngsters & Bumrah - talking points from Australia's win over India Clough - the man who made Forest European champions twice How 'impressive' Man Utd caused problems on Liverpool's right side. VideoHow 'impressive' Man Utd caused problems on Liverpool's right side Australia beat India to claim series victory. VideoAustralia beat India to claim series victory Teenage kicks - what makes history-making Littler so good? Sporting highlights to look forward to in 2025 The best sports photos of 2024 - and how they were captured Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
SportAnalysis: How Conte has taken Mourinho's mantle14 April 2017 (06:56:20),"You can see highlights of Manchester United v Chelsea on Match of the Day 2 at 22:30 GMT on Sunday on BBC One and the BBC Sport website. There is pride, as well as points, at stake at Old Trafford on Sunday because Manchester United manager Jose Mourinho will not take it well if Antonio Conte beats him in his own backyard. Conte has not just won both their previous meetings this season, his Chelsea side are 18 points above United and closing in on the Premier League title. I did not expect the gap between the two teams to be so big but nobody could have foreseen how well Conte would do in what is a highly competitive league - I certainly didn't. If you are looking for a comparison, you could say his impact in his first season in the Premier League has been Mourinho-esque - the same as when Jose first came to England in 2004 and blew everyone away. In many ways, Conte is the new Mourinho - he has only been in England for eight months but has already taken over his mantle. By that, I mean the way Conte has been the outstanding manager this season with his results and how he has implemented his style of play to build a team that is exciting to watch and a threat going forward. Just as with Mourinho, you would not exactly say that everyone loves him, but most people admire the job he has done at Chelsea, and his enthusiasm and charisma too. This video can not be played FA Cup: Chelsea 1-0 Manchester United highlights Mourinho may see a bit of himself in Conte and I would understand if he is a bit envious of the success the Italian has had. He has stolen his thunder with what is essentially Mourinho's team, and got so much more out of the group of players he was left with after Mourinho's second spell at the club. I was one of those who thought Mourinho would quickly transform United in a similar way, but they simply have not made the same transition since he took charge. Yes, there are signs of improvement from the Louis van Gaal era but I still think United will finish outside the top four, which is pretty unacceptable when you consider how much money they have spent. If they do not qualify for the Champions League by winning the Europa League, then you cannot get away from the fact that this season will be a distinctly disappointing one. I am not suggesting Mourinho is going to get the sack in that scenario - or that he should do - but, for United and for him, is winning the League Cup and finishing fifth or sixth really enough? Fourth official Mike Jones separates Mourinho and Conte during Chelsea's FA Cup win over United in March Mourinho has already clashed with Conteon the touchline this season,and he will be absolutely desperate to beat him this time. I don't think United can play an open game against Chelsea on Sunday because, if they try to go toe to toe with them, the way Conte's team counter-attack will really cause them problems. So I am expecting a cagey affair. If you asked me to pick a winner I would go with the Blues but I just have a feeling Zlatan Ibrahimovic will play a big part in the outcome. I would not put it past him to do something special to decide the game - but even if United do come out on top at Old Trafford, they face a huge task to break into the top four now. Looking at their remaining fixtures, they will need to go on an unbelievable run in some difficult games. At the same time, they have to hope Liverpool or Manchester City slip up because the top two seem to be too far clear now. You cannot rule United out of winning all of those games, simply because of who they are and the quality they have in their team. But, on this season's form, I just cannot see it. United are unbeaten for 21 league games, going back totheir 4-0 defeat at Stamford Bridge in October,but it is their inability to score goals that has been the determining factor in where they are in the table, because they have not beaten a lot of teams you would expect them to run riot against. United's current ratio of goals per league game in 2016-17 is 1.53. The only season since 1990 in which it has been lower was Louis van Gaal's second as United manager (1.29). They have scored one more than Bournemouth and have the lowest total in the top six by a significant amount. I don't think anyone imagined them struggling so badly in front of goal. Van Gaal, Mourinho's predecessor at Old Trafford, was criticised heavily for his brand of football - but his United team scored more goals in his first season, and so did David Moyes' side. United's trademark style is 'attack, attack, attack' but apart from Ibrahimovic they have been blunt when they have come forward. Ibrahimovic has had a fantastic season and bailed them out on countless occasions but it feels like they rely solely on him to score, and that has been their biggest problem. Jose Mourinho vs Louis van Gaal and David Moyes at Man Utd after 30 PL games Manager Moyes Van Gaal Mourinho Wins 15 17 15 Draws 6 8 12 Defeats 9 5 3 Points 51 59 57 Goals scored 48 52 46 Goals conceded 34 27 24 Win % 50% 56.7% 50% League position 7 4 5 Mourinho is right when he says his other attacking players need to be more consistent, but topublicly criticise the likes of Anthony Martial and Marcus Rashford,externalis a risky tactic. We have seen something similar withhis treatment of Luke Shaw,and nowthere are rumours he has had a bust-up with David de Gea too.,external This video can not be played Mourinho's scathing assessment of Luke Shaw I can understand what he is saying about Shaw being in the last-chance saloon but, for whatever reason, there is not complete harmony in the United camp at the moment. That is the other big difference between what Conte has achieved at Chelsea, and the way he has done it - because it appears there is total harmony there, with everyone pulling in the same direction. Whatever he is talking about, Mourinho's whole demeanour as a manager seems to have changed - he used to be witty and charming when he spoke to the media, but now he is painful to watch. This video can not be played Man Utd 0-0 West Brom: Jose Mourinho in disbelief at question All of that sort of behaviour seems to be an attempt to deflect attention from some of the issues affecting his team. For example, when he spoke to the BBC's Conor McNamara after United drew at home to West Brom, his emphasis was on pulling Conor up for his question, rather than concentrating on the matter in hand - which is why his team are not doing well enough in the final third of the pitch. As of 14 April, it is 211 days since United were last in the Premier League's top four (on 15 September) and 237 days since they were top (on 19 August). They are currently fifth but were sixth for 104 consecutive days until 18 March The buck has to stop with Mourinho at some point - he will know himself that he has to do better, and he has a lot of work to do. This is his first season at United and, in his defence, you could argue this is not his team yet. But that argument does not really work when you think about how quickly Conte has made a difference at Chelsea, and how far United are behind them. United have already invested heavily in their team in the past three years - Mourinho has spent about Â£150m, and Van Gaal about another Â£250m in his time in charge, which is an astonishing amount to lay out and still be outside the top four. To change that, it looks like they will have to do the same again this summer, but how much more money will they throw at it, and where does the spending stop? The United fans have been exceptionally patient with Mourinho so far but I am not sure if that will last going into next season if they miss out on the Champions League again. Chris Sutton was speaking to BBC Sport's Chris Bevan. Football commentaries How to get into football Football on the BBC Match of the Day Facebook Match of the Day Twitter BBC Sport Premier League BBC Sport Facebook BBC Sport Twitter Premier League official site Belgian GP agrees new F1 rotational deal until 2031 Fantasy holes with lava fields - it's golf for the 21st Century France manager Deschamps to step down after 2026 World Cup Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the factory he used to work in to find out how they bake 1.4 million loaves a week Dara Ã  Briain and Isy Suttie discover strange-but-true tales The pair are joined by astronaut Helen Sharman to learn about how humans learned to survive in space A round-up of 2024's top sports stories. VideoA round-up of 2024's top sports stories Jason Manford hosts, with Maisie Adam and Jon Richardson as team captains How Claressa Shields became a boxing legend The story of how Claressa Shields overcame obstacles to reach the top of the boxing game Fantasy holes with lava fields - it's golf for the 21st Century How the man who signed Henry, Bale and Suarez is reshaping Toulouse How the role of a goalkeeper changed Can Djokovic win record 25th Grand Slam aged 37? As Hamilton turns 40, how well do you know seven-time champion? 'Epic moment!' - 355lb Pierce interception tops NFL best plays. Video'Epic moment!' - 355lb Pierce interception tops NFL best plays The Man Utd legend almost broken by Barcelona Kohli, youngsters & Bumrah - talking points from Australia's win over India Clough - the man who made Forest European champions twice How 'impressive' Man Utd caused problems on Liverpool's right side. VideoHow 'impressive' Man Utd caused problems on Liverpool's right side Australia beat India to claim series victory. VideoAustralia beat India to claim series victory Teenage kicks - what makes history-making Littler so good? Sporting highlights to look forward to in 2025 The best sports photos of 2024 - and how they were captured Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Analysis: How Conte has taken Mourinho's mantle,"You can see highlights of Manchester United v Chelsea on Match of the Day 2 at 22:30 GMT on Sunday on BBC One and the BBC Sport website. There is pride, as well as points, at stake at Old Trafford on Sunday because Manchester United manager Jose Mourinho will not take it well if Antonio Conte beats him in his own backyard. Conte has not just won both their previous meetings this season, his Chelsea side are 18 points above United and closing in on the Premier League title. I did not expect the gap between the two teams to be so big but nobody could have foreseen how well Conte would do in what is a highly competitive league - I certainly didn't. If you are looking for a comparison, you could say his impact in his first season in the Premier League has been Mourinho-esque - the same as when Jose first came to England in 2004 and blew everyone away. In many ways, Conte is the new Mourinho - he has only been in England for eight months but has already taken over his mantle. By that, I mean the way Conte has been the outstanding manager this season with his results and how he has implemented his style of play to build a team that is exciting to watch and a threat going forward. Just as with Mourinho, you would not exactly say that everyone loves him, but most people admire the job he has done at Chelsea, and his enthusiasm and charisma too. This video can not be played FA Cup: Chelsea 1-0 Manchester United highlights Mourinho may see a bit of himself in Conte and I would understand if he is a bit envious of the success the Italian has had. He has stolen his thunder with what is essentially Mourinho's team, and got so much more out of the group of players he was left with after Mourinho's second spell at the club. I was one of those who thought Mourinho would quickly transform United in a similar way, but they simply have not made the same transition since he took charge. Yes, there are signs of improvement from the Louis van Gaal era but I still think United will finish outside the top four, which is pretty unacceptable when you consider how much money they have spent. If they do not qualify for the Champions League by winning the Europa League, then you cannot get away from the fact that this season will be a distinctly disappointing one. I am not suggesting Mourinho is going to get the sack in that scenario - or that he should do - but, for United and for him, is winning the League Cup and finishing fifth or sixth really enough? Fourth official Mike Jones separates Mourinho and Conte during Chelsea's FA Cup win over United in March Mourinho has already clashed with Conteon the touchline this season,and he will be absolutely desperate to beat him this time. I don't think United can play an open game against Chelsea on Sunday because, if they try to go toe to toe with them, the way Conte's team counter-attack will really cause them problems. So I am expecting a cagey affair. If you asked me to pick a winner I would go with the Blues but I just have a feeling Zlatan Ibrahimovic will play a big part in the outcome. I would not put it past him to do something special to decide the game - but even if United do come out on top at Old Trafford, they face a huge task to break into the top four now. Looking at their remaining fixtures, they will need to go on an unbelievable run in some difficult games. At the same time, they have to hope Liverpool or Manchester City slip up because the top two seem to be too far clear now. You cannot rule United out of winning all of those games, simply because of who they are and the quality they have in their team. But, on this season's form, I just cannot see it. United are unbeaten for 21 league games, going back totheir 4-0 defeat at Stamford Bridge in October,but it is their inability to score goals that has been the determining factor in where they are in the table, because they have not beaten a lot of teams you would expect them to run riot against. United's current ratio of goals per league game in 2016-17 is 1.53. The only season since 1990 in which it has been lower was Louis van Gaal's second as United manager (1.29). They have scored one more than Bournemouth and have the lowest total in the top six by a significant amount. I don't think anyone imagined them struggling so badly in front of goal. Van Gaal, Mourinho's predecessor at Old Trafford, was criticised heavily for his brand of football - but his United team scored more goals in his first season, and so did David Moyes' side. United's trademark style is 'attack, attack, attack' but apart from Ibrahimovic they have been blunt when they have come forward. Ibrahimovic has had a fantastic season and bailed them out on countless occasions but it feels like they rely solely on him to score, and that has been their biggest problem. Jose Mourinho vs Louis van Gaal and David Moyes at Man Utd after 30 PL games Manager Moyes Van Gaal Mourinho Wins 15 17 15 Draws 6 8 12 Defeats 9 5 3 Points 51 59 57 Goals scored 48 52 46 Goals conceded 34 27 24 Win % 50% 56.7% 50% League position 7 4 5 Mourinho is right when he says his other attacking players need to be more consistent, but topublicly criticise the likes of Anthony Martial and Marcus Rashford,externalis a risky tactic. We have seen something similar withhis treatment of Luke Shaw,and nowthere are rumours he has had a bust-up with David de Gea too.,external This video can not be played Mourinho's scathing assessment of Luke Shaw I can understand what he is saying about Shaw being in the last-chance saloon but, for whatever reason, there is not complete harmony in the United camp at the moment. That is the other big difference between what Conte has achieved at Chelsea, and the way he has done it - because it appears there is total harmony there, with everyone pulling in the same direction. Whatever he is talking about, Mourinho's whole demeanour as a manager seems to have changed - he used to be witty and charming when he spoke to the media, but now he is painful to watch. This video can not be played Man Utd 0-0 West Brom: Jose Mourinho in disbelief at question All of that sort of behaviour seems to be an attempt to deflect attention from some of the issues affecting his team. For example, when he spoke to the BBC's Conor McNamara after United drew at home to West Brom, his emphasis was on pulling Conor up for his question, rather than concentrating on the matter in hand - which is why his team are not doing well enough in the final third of the pitch. As of 14 April, it is 211 days since United were last in the Premier League's top four (on 15 September) and 237 days since they were top (on 19 August). They are currently fifth but were sixth for 104 consecutive days until 18 March The buck has to stop with Mourinho at some point - he will know himself that he has to do better, and he has a lot of work to do. This is his first season at United and, in his defence, you could argue this is not his team yet. But that argument does not really work when you think about how quickly Conte has made a difference at Chelsea, and how far United are behind them. United have already invested heavily in their team in the past three years - Mourinho has spent about Â£150m, and Van Gaal about another Â£250m in his time in charge, which is an astonishing amount to lay out and still be outside the top four. To change that, it looks like they will have to do the same again this summer, but how much more money will they throw at it, and where does the spending stop? The United fans have been exceptionally patient with Mourinho so far but I am not sure if that will last going into next season if they miss out on the Champions League again. Chris Sutton was speaking to BBC Sport's Chris Bevan. Football commentaries How to get into football Football on the BBC Match of the Day Facebook Match of the Day Twitter BBC Sport Premier League BBC Sport Facebook BBC Sport Twitter Premier League official site Belgian GP agrees new F1 rotational deal until 2031 Fantasy holes with lava fields - it's golf for the 21st Century France manager Deschamps to step down after 2026 World Cup Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the factory he used to work in to find out how they bake 1.4 million loaves a week Dara Ã  Briain and Isy Suttie discover strange-but-true tales The pair are joined by astronaut Helen Sharman to learn about how humans learned to survive in space A round-up of 2024's top sports stories. VideoA round-up of 2024's top sports stories Jason Manford hosts, with Maisie Adam and Jon Richardson as team captains How Claressa Shields became a boxing legend The story of how Claressa Shields overcame obstacles to reach the top of the boxing game Fantasy holes with lava fields - it's golf for the 21st Century How the man who signed Henry, Bale and Suarez is reshaping Toulouse How the role of a goalkeeper changed Can Djokovic win record 25th Grand Slam aged 37? As Hamilton turns 40, how well do you know seven-time champion? 'Epic moment!' - 355lb Pierce interception tops NFL best plays. Video'Epic moment!' - 355lb Pierce interception tops NFL best plays The Man Utd legend almost broken by Barcelona Kohli, youngsters & Bumrah - talking points from Australia's win over India Clough - the man who made Forest European champions twice How 'impressive' Man Utd caused problems on Liverpool's right side. VideoHow 'impressive' Man Utd caused problems on Liverpool's right side Australia beat India to claim series victory. VideoAustralia beat India to claim series victory Teenage kicks - what makes history-making Littler so good? Sporting highlights to look forward to in 2025 The best sports photos of 2024 - and how they were captured Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
