date,Sentiment,average_sentiment_score
25-07-2018,negative,0.42686972
26-07-2018,negative,0.464140207
27-07-2018,positive,0.508316696
28-07-2018,positive,0.502453625
29-07-2018,positive,0.653686643
30-07-2018,negative,0.431704491
31-07-2018,negative,0.484875679
01-08-2018,positive,0.511646807
02-08-2018,positive,0.50211817
03-08-2018,positive,0.528573692
04-08-2018,negative,0.476104498
05-08-2018,positive,0.570201933
06-08-2018,negative,0.418936551
07-08-2018,negative,0.495378375
08-08-2018,negative,0.390846521
09-08-2018,negative,0.489963293
10-08-2018,positive,0.542381525
11-08-2018,positive,0.532010317
12-08-2018,negative,0.476197243
13-08-2018,positive,0.518693388
14-08-2018,positive,0.528026402
15-08-2018,negative,0.497998804
16-08-2018,negative,0.499108106
17-08-2018,negative,0.498887986
18-08-2018,positive,0.535810888
19-08-2018,positive,0.535849988
20-08-2018,positive,0.530252039
21-08-2018,negative,0.475127131
22-08-2018,positive,0.56622982
23-08-2018,positive,0.579528272
24-08-2018,positive,0.542582452
25-08-2018,negative,0.417796105
26-08-2018,negative,0.396092832
27-08-2018,positive,0.605010748
28-08-2018,negative,0.476311237
29-08-2018,negative,0.452332824
30-08-2018,positive,0.562148929
31-08-2018,positive,0.543495893
01-09-2018,negative,0.396229178
02-09-2018,negative,0.496327281
03-09-2018,negative,0.401040792
04-09-2018,positive,0.518206477
05-09-2018,positive,0.554035187
06-09-2018,positive,0.527396142
07-09-2018,negative,0.439103484
08-09-2018,negative,0.390167296
09-09-2018,positive,0.553441525
10-09-2018,positive,0.55695045
11-09-2018,positive,0.501161754
12-09-2018,negative,0.338308483
13-09-2018,positive,0.525230169
14-09-2018,positive,0.530056298
15-09-2018,negative,0.453265429
16-09-2018,positive,0.596606135
17-09-2018,negative,0.432171792
18-09-2018,negative,0.497654408
19-09-2018,negative,0.480699807
20-09-2018,negative,0.495811403
21-09-2018,negative,0.446719795
22-09-2018,negative,0.461221039
23-09-2018,negative,0.444613785
24-09-2018,positive,0.52786988
25-09-2018,negative,0.450859189
26-09-2018,negative,0.417016089
27-09-2018,positive,0.578067839
28-09-2018,positive,0.525446653
29-09-2018,positive,0.574114799
30-09-2018,negative,0.432180971
01-10-2018,negative,0.434528947
02-10-2018,positive,0.529065549
03-10-2018,negative,0.485517293
04-10-2018,positive,0.590748787
05-10-2018,positive,0.549304485
06-10-2018,negative,0.47452876
07-10-2018,negative,0.432629645
