date,Sentiment,average_sentiment_score
19-07-2017,negative,0.392866412
20-07-2017,positive,0.537792216
21-07-2017,positive,0.595792739
22-07-2017,negative,0.461764691
23-07-2017,positive,0.593137647
24-07-2017,negative,0.347588252
25-07-2017,negative,0.464921596
26-07-2017,negative,0.482352
27-07-2017,negative,0.479335232
28-07-2017,positive,0.605581125
29-07-2017,positive,0.553216571
30-07-2017,positive,0.544137171
31-07-2017,negative,0.416704594
01-08-2017,positive,0.598665825
02-08-2017,negative,0.485699256
03-08-2017,negative,0.455305375
04-08-2017,positive,0.54514478
05-08-2017,positive,0.618202414
06-08-2017,positive,0.530959911
07-08-2017,positive,0.576725623
08-08-2017,negative,0.431590552
09-08-2017,positive,0.545511673
10-08-2017,negative,0.471221218
11-08-2017,positive,0.508007231
12-08-2017,positive,0.635175351
13-08-2017,negative,0.387476512
14-08-2017,negative,0.320430076
15-08-2017,negative,0.482907641
16-08-2017,positive,0.528549116
17-08-2017,positive,0.617184768
18-08-2017,negative,0.404679922
19-08-2017,positive,0.627858268
20-08-2017,positive,0.50180287
21-08-2017,negative,0.393485252
22-08-2017,positive,0.526405581
23-08-2017,positive,0.511404529
24-08-2017,positive,0.522108092
25-08-2017,negative,0.487644515
26-08-2017,negative,0.41438665
27-08-2017,negative,0.309124828
01-08-2017,positive,0.524805129
02-08-2017,positive,0.66720432
03-08-2017,negative,0.474353641
04-08-2017,negative,0.470378697
05-08-2017,negative,0.370513678
06-08-2017,positive,0.597399592
07-08-2017,negative,0.474983603
08-08-2017,negative,0.475243807
09-08-2017,positive,0.516569257
10-08-2017,negative,0.492850751
11-08-2017,negative,0.344187081
12-08-2017,negative,0.429608256
13-08-2017,positive,0.547406316
14-08-2017,positive,0.591924727
15-08-2017,negative,0.413763583
16-08-2017,positive,0.547545195
17-08-2017,negative,0.495277852
18-08-2017,negative,0.494316667
19-08-2017,positive,0.595476806
20-08-2017,negative,0.455839038
21-08-2017,negative,0.498700082
22-08-2017,negative,0.479708076
23-08-2017,positive,0.519156456
24-08-2017,negative,0.395365089
